wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ032,1098.628174,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ031,1496.980713,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ033,1508.45105,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ050,1532.804688,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ017,1509.834473,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ034,1249.579224,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ091,1046.92627,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,IAZ079,1121.359253,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ068,1594.483643,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ011,2989.198242,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ042,1789.009033,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ052,891.8168335,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ067,1407.550537,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ012,1939.082275,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ093,1472.619995,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ088,1495.647217,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ089,2269.815674,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ065,1474.37793,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ090,992.4835815,2009-12-09 11:42,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,NEZ018,1118.937256,2009-12-09 11:42,,,,,FALSE,,,,,,
